2a771a48fe63d1cc3f3cf1f10caf3c37,https://www.mycareersfuture.sg/job/operations-manager-wonderful-agency-2a771a48fe63d1cc3f3cf1f10caf3c37,WONDERFUL AGENCY PTE. LTD.,Operations Manager (Food Services),Full Time,"Manager, Executive",F&B,<p>- Oversee daily routine activities in the kitchen and serving area</p><br/><p>- Minimum Bachelor Degree</p>,05:08.2
243aa4ac442db634dcafec55f18d86c4,https://www.mycareersfuture.sg/job/frontend-developer-ntt-data-singapore-243aa4ac442db634dcafec55f18d86c4,NTT DATA SINGAPORE PTE. LTD.,Frontend Developer,Contract,Senior Executive,Information Technology,"<p>NTT DATA is a top 10 global IT services provider, headquartered in Tokyo, operating in more than 50 countries.</p><br/><ul> <li>Developing the UI framework used by development teams as part of the core framework team</li> <li>Develop a new breed of Web Components following web standards that can be used in any frontend framework with the use of Custom Elements, Shadow DOM and HTML templates.</li> <li>Migrate  AngularJS application to Angular using the framework</li> <li>Responsible for fixing framework related issues raised by development teams</li> </ul>",05:08.2
9e5f70ae85ad2716e7e71cbb5619843c,https://www.mycareersfuture.sg/job/ladies-hairdresser-super-star-hair-dressing-beautician-9e5f70ae85ad2716e7e71cbb5619843c,SUPER STAR HAIR DRESSING & BEAUTICIAN PTE. LTD.,Ladies' Hairdresser,Full Time,Executive,Customer Service,<p>Being able to bring in more customers through our excellent service. <br/> abke to manage the team</p><br/><p>Able to lead a team of 3-7 members  <br/> Able to handle fast pace during peak hours</p>,05:08.2
d15b215ace5b3142f6ad36700254c6f2,https://www.mycareersfuture.sg/job/hair-consultant-super-star-hair-dressing-beautician-d15b215ace5b3142f6ad36700254c6f2,SUPER STAR HAIR DRESSING & BEAUTICIAN PTE. LTD.,Hair Consultant,Full Time,Executive,Customer Service,<p>Being able to bring in more customers through our excellent service. <br/> abke to manage the team</p><br/><p>Able to lead a team of 3-7 members  <br/> Able to handle fast pace during peak hours</p>,05:08.2
3888a6acb132a0bf1fd2697b3977801b,https://www.mycareersfuture.sg/job/project-manager-lisoon-offshore-3888a6acb132a0bf1fd2697b3977801b,LISOON OFFSHORE PTE. LTD.,Project Manager (Marine and Offshore),Contract,Middle Management,Engineering,"<div class=""f5 fw4 black-70 lh-copy break-word JobDetails__job_details_page___2hMQp"" id=""description-content"">The Project Manager is in charge of a range of projects undertaken by the organisation,and is responsible for ensuring complete product delivery and handover according to respective project scope specifications and standards. He/She plays a strategic role in managing the organisation's many projects,and is responsible for defining project scopes, objectives, plans and performance measuring criteria to ensure the completion of project deliverables according to required standards and client expectations. He/She also leads project reviews to identify synergies and areas of improvements across the portfolio of projects.  <br/> <br/>The Project Manager should be comfortable engaging and interacting with both internal and external parties, to manage key strategic stakeholder communication and negotiations.  <br/></div><br/><div class=""f5 fw4 black-70 lh-copy break-word JobDetails__job_details_page___2hMQp"" id=""description-content"">The Project Manager is in charge of a range of projects undertaken by the organisation,and is responsible for ensuring complete product delivery and handover according to respective project scope specifications and standards. He/She plays a strategic role in managing the organisation's many projects,and is responsible for defining project scopes, objectives, plans and performance measuring criteria to ensure the completion of project deliverables according to required standards and client expectations. He/She also leads project reviews to identify synergies and areas of improvements across the portfolio of projects.  <br/> <br/>The Project Manager should be comfortable engaging and interacting with both internal and external parties, to manage key strategic stakeholder communication and negotiations.  <br/></div>",05:08.2
02d84d614dd47d2e465baadef1ec703b,https://www.mycareersfuture.sg/job/test-verification-engineer-02d84d614dd47d2e465baadef1ec703b,Company Undisclosed,Test and Verification Engineer,Contract,Professional,Engineering,"<p>Develop, validate, release SOC level automotive microcontroller test program for Intelligent Burn In System( IBIS), meeting the required test time, test coverage and yeild. Ensure continuous improvement on test program to achieve better test coverage , shorter test time and robust test operation. Support troubleshooting and debugging of software and hardware for burn in test related problems. Support Burn In Board development and validation. Ensure continuous improvement on development process and methodologies.</p><br/><ul> <li>3-5 years of experience in burn in/ test development</li> <li>Knowledge on Burn in Board/test hardware design and debug.</li> <li>Proficient with programming languages VB.NET, C#, MySQL.</li> <li>Familiar with object-oriented programming paradigm.</li> <li>Knowledge of software automation ( Jenkins), development environment( Visual Studio), and version control System( SVN,GIT).</li> <li>Knowledge of microcontroller and embedded SRAM/Flash test development.</li> <li>Experience working with BE production test team on new product introduction is preferred.</li> </ul>",05:08.2
013eec73a909be959b7ff3b4076c528e,https://www.mycareersfuture.sg/job/software-engineer-comfort-transportation-013eec73a909be959b7ff3b4076c528e,COMFORT TRANSPORTATION PTE LTD,Software Engineer (Mobile Payment Solutions),"Contract, Full Time",Executive,Information Technology,"<p>· Develop and maintain software applications for payment systems</p><br/><ul> <li>3-5 years of experience in burn in/ test development</li> <li>Knowledge on Burn in Board/test hardware design and debug.</li> <li>Proficient with programming languages VB.NET, C#, MySQL.</li> <li>Familiar with object-oriented programming paradigm.</li> <li>Knowledge of software automation ( Jenkins), development environment( Visual Studio), and version control System( SVN,GIT).</li> <li>Knowledge of microcontroller and embedded SRAM/Flash test development.</li> <li>Experience working with BE production test team on new product introduction is preferred.</li> </ul>",05:08.2
e6e805d803a4e13de83d57feff4e6b3f,https://www.mycareersfuture.sg/job/executive-agile-squad-comfort-transportation-e6e805d803a4e13de83d57feff4e6b3f,COMFORT TRANSPORTATION PTE LTD,"Executive, Agile Squad",Permanent,Executive,Others,"<p>· Deliver projects that provide exceptional business values to users</p><br/><ul> <li>3-5 years of experience in burn in/ test development</li> <li>Knowledge on Burn in Board/test hardware design and debug.</li> <li>Proficient with programming languages VB.NET, C#, MySQL.</li> <li>Familiar with object-oriented programming paradigm.</li> <li>Knowledge of software automation ( Jenkins), development environment( Visual Studio), and version control System( SVN,GIT).</li> <li>Knowledge of microcontroller and embedded SRAM/Flash test development.</li> <li>Experience working with BE production test team on new product introduction is preferred.</li> </ul>",05:08.2
9a585d7e46fcc569285b79b9bd1fd9f5,https://www.mycareersfuture.sg/job/marketing-event-executive-nexrealm-productions-9a585d7e46fcc569285b79b9bd1fd9f5,NEXREALM PRODUCTIONS LLP,Marketing & Event Executive,Full Time,Executive,"Events / Promotions, Marketing / Public Relations, Sales / Retail","<p>&lt;&lt;Marketing &amp; Sales:&gt;&gt;</p><br/><ul> <li>3-5 years of experience in burn in/ test development</li> <li>Knowledge on Burn in Board/test hardware design and debug.</li> <li>Proficient with programming languages VB.NET, C#, MySQL.</li> <li>Familiar with object-oriented programming paradigm.</li> <li>Knowledge of software automation ( Jenkins), development environment( Visual Studio), and version control System( SVN,GIT).</li> <li>Knowledge of microcontroller and embedded SRAM/Flash test development.</li> <li>Experience working with BE production test team on new product introduction is preferred.</li> </ul>",05:08.2
458ac97b6c4a7ef9bc2b2b2c095959de,https://www.mycareersfuture.sg/job/gm-–-program-office-nextgen-aap-daimler-financial-services-africa-asia-pacific-458ac97b6c4a7ef9bc2b2b2c095959de,DAIMLER FINANCIAL SERVICES AFRICA & ASIA PACIFIC LTD.,GM - Program Office NextGen AAP,"Permanent, Full Time",Senior Management,Banking and Finance,"<p>-Business lead of overall NextGen program, which is the most significant IT project in China so far, both in terms of complexity and financially.</p><br/><ul> <li>3-5 years of experience in burn in/ test development</li> <li>Knowledge on Burn in Board/test hardware design and debug.</li> <li>Proficient with programming languages VB.NET, C#, MySQL.</li> <li>Familiar with object-oriented programming paradigm.</li> <li>Knowledge of software automation ( Jenkins), development environment( Visual Studio), and version control System( SVN,GIT).</li> <li>Knowledge of microcontroller and embedded SRAM/Flash test development.</li> <li>Experience working with BE production test team on new product introduction is preferred.</li> </ul>",05:08.2
